Title,Genre,Premiere,Seasons,Status
Virgin River,Romantic drama,2019-12-06,7.0,Renewed
The Witcher,Fantasy drama,2019-12-20,4.0,Final season due to premiere in 2026
Outer Banks,Coming of age drama,2020-04-15,4.0,Final season due to premiere in 2026
Sweet Magnolias,Romantic drama,2020-05-19,4.0,"Season 5 due to premiere on June 11, 2026"
Kings of Jo'Burg,Fantasy crime drama,2020-12-04,3.0,Pending
Bridgerton,Alternate historical romance,2020-12-25,4.0,Renewed for seasons 5–6
Ginny & Georgia,Coming of age drama,2021-02-24,3.0,Renewed
The Lincoln Lawyer,Legal thriller,2022-05-13,4.0,Renewed
The Night Agent,Political thriller,2023-03-23,3.0,Renewed
The Diplomat,Political thriller,2023-04-20,3.0,Season 4 due to premiere in 2026
Fatal Seduction,Thriller,2023-07-07,3.0,Pending
My Life with the Walter Boys,Romantic drama,2023-12-07,2.0,Season 3 due to premiere in 2026
 Body Problem,Science fiction,2024-03-21,1.0,Season 2 due to premiere in 2026Renewed
Supacell,Superhero drama,2024-06-27,1.0,Renewed
Beauty in Black,Drama,2024-10-24,2.0,Renewed for final season
Black Doves,Thriller,2024-12-05,1.0,Season 2 due to premiere in 2026
Ransom Canyon,Romance Western,2025-04-17,1.0,"Season 2 due to premiere on July 23, 2026"
Forever,Teen drama,2025-05-08,1.0,Renewed
Bet,Thriller,2025-05-15,1.0,Renewed
Dept. Q,Crime thriller,2025-05-29,1.0,Renewed
Untamed,Crime drama,2025-07-17,1.0,Renewed
House of Guinness,Historical drama,2025-09-25,1.0,Pending
Bad Influencer,Crime drama,2025-10-31,1.0,Pending
Agatha Christie's Seven Dials,Mystery drama,2026-01-15,1.0,Pending
Finding Her Edge,Sports teen drama,2026-01-22,1.0,Renewed
Something Very Bad Is Going to Happen,Horror,2026-03-26,1.0,Pending
Unchosen,Psychological thriller,2026-04-21,1.0,Pending
Man on Fire,Action thriller,2026-04-30,1.0,Pending
Legends,Crime drama,,1.0,Pending
Nemesis,Action heist,,1.0,Pending
The Boroughs,Science fiction drama,,1.0,Pending
The Witness,Crime drama,,3.0,Miniseries
Little House on the Prairie,Western historical drama,,,Renewed
